exotic shiitake mushrooms  100g, 49.80 , kg, 4.98, 0.1KG, 1
exotic oyster mushrooms  150g, 37.87 , kg, 5.68, 0.15KG, 1
parsley sleeved 1 bunch, 0.00 , kg, NA, parsley sleeved 1 bunch, 1
continental parsley sleeved 1 bunch, 0.00 , kg, NA, continental parsley sleeved 1 bunch, 1
celeriac 1 bunch, 5.98 , kg, 5.98, celeriac 1 bunch, 1
coconut whole, 3.00 , kg, 3.00, coconut whole 1 each, 1
white seedless grapes  500g, 9.96 , kg, 4.98, 0.5KG, 1
garlic  190g, 23.58 , kg, 4.48, 0.19KG, 1
apricots, 10.00 , kg, 0.60, apricots 1 each, 1
amour mandarins  700g, 11.40 , kg, 7.98, 0.7KG, 1
organic white seedless grapes  500g, 12.00 , kg, 6.00, 0.5KG, 1
chives 80g, 0.49 , kg, 3.90, 0.08KG, 1
mild chilli 115g, 0.35 , kg, 3.98, 0.115KG, 1
moroccan herbs 80g, 0.49 , kg, 3.90, 0.08KG, 1
mediterranean herbs 80g, 0.49 , kg, 3.90, 0.08KG, 1
italian herbs 115g, 0.35 , kg, 3.98, 0.115KG, 1
lightly dried ginger 22g, 177.3, kg, 3.90, 0.022KG, 1
balsamic infused beetroot  180g, 25.00 , kg, 4.50, 0.18KG, 1
king of hearts valentines bouquet, 45.00 , kg, 45.00, king of hearts valentines bouquet 1 each, 1
six of hearts valentines bouquet, 25.00 , kg, 25.00, six of hearts valentines bouquet 1 each, 1
coriander 115g, 0.35 , kg, 3.98, 0.115KG, 1
heart felt valentines bouquet, 30.00 , kg, 30.00, heart felt valentines bouquet 1 each, 1
ace of hearts valentines single stem, 10.00 , kg, 10.00, ace of hearts valentines single stem 1 each, 1
combo box fruit vegetable and salad jumbo, 48.00 , kg, 48.00, combo box fruit vegetable and salad jumbo 1 each, 1
fruit box large, 40.00 , kg, 40.00, fruit box large 1 each, 1
combo box fruit and vegetable large, 32.00 , kg, 32.00, combo box fruit and vegetable large 1 each, 1
strawberries  250g, 14.00 , kg, 3.50, 0.25KG, 1
green zucchini, 5.98 , kg, 1.26, green zucchini 1 each, 1
blueberries  125g, 39.84 , kg, 4.98, 0.125KG, 1
green asparagus 1 bunch, 3.98 , kg, 3.98, green asparagus 1 bunch, 1
organic avocados, 4.50 , kg, 4.50, organic avocados 1 each, 1
organic green zucchini  500g, 9.00 , kg, 4.50, 0.5KG, 1
sugar snap peas loose  100g, 12.98 , kg, 1.30, 0.1KG, 1
sugar snap peas  150g, 13.33 , kg, 2.00, 0.15KG, 1
bananas, 2.00 , kg, 0.36, bananas 1 each, 1
carrots, 1.20 , kg, 1.20, 1kg, 1
broccoli, 6.98 , kg, 2.37, broccoli 1 each, 1
lebanese cucumbers, 4.98 , kg, 0.70, lebanese cucumbers 1 each, 1
celery pieces loose, 4.26 , kg, 0.32, celery pieces loose 1 each, 1
rockmelon half, 1.00 , kg, 1.00, rockmelon half 1 each, 1
topless pineapple, 4.90 , kg, 4.90, topless pineapple 1 each, 1
leeks, 2.48 , kg, 2.48, leeks 1 each, 1
mint sleeved 1 bunch, NA, kg, N, mint sleeved 1 bunch, A
green kiwifruit 8 pack, 0.56 , kg, 4.48, green kiwifruit 8 pack, 1
celery pieces  300g, 6.67 , kg, 2.00, 0.3KG, 1
green beans  375g, 5.33 , kg, 2.00, 0.375KG, 1
iceberg blend salad  300g, NA, kg, N, 0.3KG, A
chat washed potatoes, 3.98 , kg, 0.40, chat washed potatoes 1 each, 1
beetroot, 3.98 , kg, 0.68, beetroot 1 each, 1
continental parsley punnet 20g, NA, kg, N, 0.02KG, A
valencia oranges, 1.90 , kg, 0.40, valencia oranges 1 each, 1
seedless watermelon whole, 1.98 , kg, 14.85, seedless watermelon whole 1 each, 1
garlic 4 pack, 0.50 , kg, 1.98, garlic 4 pack, 1
fruit box snack, 18.00 , kg, 18.00, fruit box snack 1 each, 1
creme royale brushed potatoes, 2.98 , kg, 0.51, creme royale brushed potatoes 1 each, 1
snow peas  150g, 13.33 , kg, 2.00, 0.15KG, 1
rocket salad mix  120g, 25.00 , kg, 3.00, 0.12KG, 1
blackberries  125g, 39.20 , kg, 4.90, 0.125KG, 1
carisma washed potatoes, 3.49 , kg, 6.98, carisma washed potatoes prepacked 2kg, 1
passionfruit, 1.50 , kg, 1.50, passionfruit 1 each, 1
valencia oranges  3kg, 1.99 , kg, 5.98, valencia oranges prepacked 3kg, 1
green kale 1 bunch, 3.98 , kg, 3.98, green kale 1 bunch, 1
white flesh nectarines, 3.80 , kg, 0.57, white flesh nectarines 1 each, 1
limes 5 pack, 0.70 , kg, 3.48, limes 5 pack, 1
desiree washed potatoes, 3.98 , kg, 0.68, desiree washed potatoes 1 each, 1
kids pack bananas 750g, 2.67 , kg, 2.00, 0.75KG, 1
baby spinach salad leaves  150g, 26.67 , kg, 4.00, 0.15KG, 1
baby spinach  60g, 33.3, kg, 2.00, 0.06KG, 1
cherry burst truss tomatoes  200g, 17.40 , kg, 3.48, 0.2KG, 1
royal gala apples, 4.50 , kg, 0.72, royal gala apples 1 each, 1
radish 1 bunch, NA, kg, N, radish 1 bunch, A
yellow flesh nectarines, 4.80 , kg, 4.80, 1kg, 1
red chillies loose  50g, 15.90 , kg, 0.80, 0.05KG, 1
mini white potatoes  750g, 3.97 , kg, 2.98, 0.75KG, 1
organic carrots, 5.00 , kg, 5.00, 1kg, 1
calypso mangoes, 0.00 , kg, 3.00, calypso mangoes, 1
perino gold tomatoes  200g, NA, kg, N, 0.2KG, A
red sweet potatoes, 5.98 , kg, 2.09, red sweet potatoes 1 each, 1
mini vine capsicums  175g, NA, kg, N, 0.175KG, A
green oak lettuce, 1.98 , kg, 1.98, green oak lettuce 1 each, 1
rocket salad mix  60g, 33.33 , kg, 2.00, 0.06KG, 1
baby beetroot  250g, 12.00 , kg, 3.00, 0.25KG, 1
caesar salad kit 290g, 18.97 , kg, 5.50, 0.29KG, 1
asian pak choy 1 bunch, 1.98 , kg, 1.98, asian pak choy 1 bunch, 1
cup mushrooms  200g, 19.90 , kg, 3.98, 0.2KG, 1
crunchy salad kit 520g, 6.73 , kg, 3.50, 0.52KG, 1
lady finger bananas, 7.00 , kg, 1.12, lady finger bananas 1 each, 1
brushed yellow flesh potatoes, 2.49 , kg, 4.98, brushed yellow flesh potatoes prepacked 2kg, 1
naranka gold pumpkin cut, 3.48 , kg, 2.44, naranka gold pumpkin cut 1 each, 1
baby roma truss tomatoes  250g, 17.92 , kg, 4.48, 0.25KG, 1
mini red cabbage, 2.50 , kg, 2.50, mini red cabbage 1 each, 1
organic valencia oranges, 4.00 , kg, 8.00, organic valencia oranges prepacked 2kg, 1
bean shoots  250g, 8.60 , kg, 2.15, 0.25KG, 1
classic coleslaw kit 400g, 13.75 , kg, 5.50, 0.4KG, 1
