wholemeal quinoa stone baked pane di casa loaf 500g, 8.0, kg, 4.00, 0.5kg, 1
stone baked white batard 300g, 11.7, kg, 3.50, 0.3kg, 1
apple and cinnamon hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
lamington fingers 12 pack 270g, 0.42 , kg, 5.00, 0.27kg, 1
pizza bases 2 pack, 2.75 , kg, 5.50, 2pk, 1
madeira cake 300g, 16.7, kg, 5.00, 0.3kg, 1
light fruit cake 800g, 4.1, kg, 3.30, 0.8kg, 1
country grain multigrain organic rye bread 680g, 10.1, kg, 6.85, 0.68kg, 1
chia rice buns gluten free 315g, 20.6, kg, 6.50, 0.315kg, 1
gingerbread babies cookies 90g, 37.8, kg, 3.40, 0.09kg, 1
very berry vanilla muffin bites 190g, 50.0, kg, 5.00, 0.19kg, 1
oat crumpets 6 pack, 0.52 , kg, 3.10, 6pk, 1
sunflower poppy and oat muffins 4 pack, 1.00 , kg, 3.99, 4pk, 1
mixed grain muffins 4 pack, 1.00 , kg, 3.99, 4pk, 1
traditional homestead seed and grain bread 800g, 7.2, kg, 5.79, 0.8kg, 1
traditional stone milled wholemeal bread 800g, 7.2, kg, 5.79, 0.8kg, 1
sourdough bread loaf 680g, 10.7, kg, 7.30, 0.68kg, 1
wholemeal family pita bread 5 pack 225g, 10.2, kg, 2.30, 0.225kg, 1
white pita pockets 6 pack 250g, 8.0, kg, 2.00, 0.25kg, 1
croissants 12 pack, 0.83 , kg, 10.00, 2pk, 1
fruit 'n spice muffins 6 pack, 0.78 , kg, 4.69, 6pk, 1
mediterranean herb wraps 8 pack 567g, 8.8, kg, 4.99, 0.567kg, 1
quinoa wraps 8 inch 384g, 7.8, kg, 3.00, 0.384kg, 1
multigrain cobb 800g, 6.4, kg, 5.10, 0.8kg, 1
dark rye cobb 800g, 6.4, kg, 5.10, 0.8kg, 1
light rye cobb 800g, 6.4, kg, 5.10, 0.8kg, 1
roasted seed plus bread 620g, 8.2, kg, 5.09, 0.62kg, 1
malt fruit bread sliced 340g, 14.7, kg, 4.99, 0.34kg, 1
fairy cakes with jam 12 pack 300g, 0.33 , kg, 4.00, 0.3kg, 1
fruit and spice english muffins 6 pack, 0.78 , kg, 4.70, 6pk, 1
cafe style breakfast toast bread 650g, 8.9, kg, 5.80, 0.65kg, 1
pancakes 6 pack 6 pack, 0.67 , kg, 4.00, 6pk, 1
milk chocolate filled crepes 6 pack 192g, 24.2, kg, 4.65, 0.192kg, 1
garlic parsley bruschetta 300g, 14.7, kg, 4.40, 0.3kg, 1
light cafe fruit bread loaf 550g, 8.2, kg, 4.50, 0.55kg, 1
light apricot delight fruit bread loaf 450g, 10.9, kg, 4.90, 0.45kg, 1
continental light fruit bread loaf 700g, 7.9, kg, 5.50, 0.7kg, 1
coconut macaroons 200g, 20.0, kg, 4.00, 0.2kg, 1
belgian waffles 275g, 13.3, kg, 3.65, 0.275kg, 1
carrot cake slices 110g, 45.5, kg, 5.00, 0.11kg, 1
belgian brownies 105g, 47.6, kg, 5.00, 0.105kg, 1
choco orange cakes 10 pack 350g, 15.7, kg, 5.50, 0.35kg, 1
trancetto cakes 10 pack 280g, 14.3, kg, 4.00, 0.28kg, 1
choco and latte cake 300g, 13.3, kg, 4.00, 0.3kg, 1
white pita pocket 6 pack 400g, 11.5, kg, 4.60, 0.4kg, 1
stoneground multigrain bread yeast free 620g, 9.7, kg, 6.00, 0.62kg, 1
sourdough olive cobb 800g, 9.4, kg, 7.50, 0.8kg, 1
spelt bread 620g, 11.3, kg, 6.99, 0.62kg, 1
fruit and muesli bread 700g, 8.3, kg, 5.79, 0.7kg, 1
strawberry mini rolls 150g, NA, kg, N, 0.15kg, A
blackcurrant mini rolls 5 pack 120g, 25.0, kg, 3.00, 0.12kg, 1
chocolate hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
